log_age_bin,n,log_age_mid,age_myr_median,p_bound_mean,p_bound_std,dsi_median,m_dis_sum
7.0-7.5,12,7.324999999999999,21.134890398366434,0.051649088890505186,0.004928708052004738,0.01248310415245967,5162.118530448241
7.5-8.0,26,7.762499999999999,58.092089435559046,0.05074917793651517,0.004072103131723196,0.010121396964896827,9884.822902521673
8.0-8.5,26,8.2375,172.85417140807408,0.051899704723512824,0.004446061580805585,0.015169568105760953,13589.73730672829
8.5-9.0,14,8.75,562.3413251903492,0.05088171617689336,0.002971677576843569,0.015415899974589291,9408.73610498159
9.0-9.5,1,9.175,1496.2356560944359,0.048991171031339584,,0.011372250820271481,198.6716406262928
9.5-10.0,1,9.525,3349.6543915782795,0.04772022075473766,,0.0021654486280208596,128.453590790261
