iteration,A_at_100Myr,alpha
0,0.05140028498255513,-0.0049988706386110285
1,0.05167761635071306,0.004758594352316933
2,0.050941925612955255,-0.007827430598262726
3,0.0508980088174454,0.003910627987154408
4,0.05134903798005236,0.008861808703714648
5,0.05143911032110023,0.010062861383304733
6,0.05063837392973512,-0.003146192512465713
7,0.050764876896410974,-0.005952694205713134
8,0.051503824094055975,0.00714990461385045
9,0.05167527421416323,0.0036621423136343253
10,0.050497360598386984,0.0011381337353581474
11,0.05158522882158385,-0.013592941007597961
12,0.0511320977782797,-0.000651409196540916
13,0.05104651995575327,0.0012621478801553467
14,0.05098030579167836,0.004083770376795954
15,0.0511589546893052,-0.009779904751512074
16,0.050962277659554585,-0.0017464493851232468
17,0.05134142164799321,-0.004494345728115621
18,0.05092961616675016,-0.008692327780180965
19,0.050956716157720856,0.009684653983986706
20,0.051045977487466,-0.015167679823267426
21,0.05057068219581583,0.004488224292350158
22,0.05111955900924328,0.0013925653110330096
23,0.050611110018145576,-0.0013137961465948035
24,0.0516548049638108,0.008698876357781367
25,0.05155866760108767,0.007063138494064862
26,0.05117337096409961,-0.0015808794803448445
27,0.05044222036387463,-1.5447728373893395e-05
28,0.05066223795536653,0.004801773240457767
29,0.051502357917431296,-0.006859628332767941
30,0.050732465818599394,0.008135812408384931
31,0.05097846180047362,-0.0023218621977942446
32,0.05128068798030487,0.00011986112904013616
33,0.050951864075826456,0.005023546816553982
34,0.051069658288842065,0.0031971897529827257
35,0.05116304909584228,0.0005437259207991941
36,0.051729957529409155,0.006614126688495582
37,0.05105182950970597,-0.004072885498706061
38,0.0521757880906043,0.004422800625330995
39,0.05081369893822096,0.0012833422858763578
40,0.051420353405792235,0.00033600947493416953
41,0.05050041406996016,-0.007270220098093108
42,0.05125367108798367,0.004970171672728423
43,0.05106360383258953,0.0016166861515465153
44,0.0513935015820142,-0.008041510253647396
45,0.05102389926247892,0.0010689104900734265
46,0.05130943378066985,-0.0024821127727595992
47,0.050690059378874504,-0.0009118421312089861
48,0.04998345165218988,-0.0031488650595273456
49,0.05087378370472442,0.0008593772057900507
50,0.05115073306752831,0.0022466403478491955
51,0.050884520541652045,0.0016037468287110283
52,0.05128131784313177,-0.0002182836201609279
53,0.050646928053711834,-0.0015429205192455076
54,0.051449416447586604,0.0026540768723878334
55,0.051259401179335876,0.0015869988790979072
56,0.05123794233288428,0.002028364935431524
57,0.051277667433761005,0.00669107796951138
58,0.05006762297744734,-0.002689937961609731
59,0.05081789992983872,-0.010125655140128644
60,0.051030930100740564,-0.009974692872271105
61,0.050928964621517726,-0.0009097351132143249
62,0.05087698138898095,-0.006315520403938524
63,0.051643937887143936,0.003751474668814178
64,0.0513992863805805,0.0032547964378692685
65,0.0513927701210655,-0.006691036353434072
66,0.05099726911941006,-0.004244710681326066
67,0.05075563204367788,-0.00024751000045242287
68,0.05103396729962343,0.005442616557741107
69,0.051055000620595405,0.005108920662399091
70,0.05146887151268213,0.00528375152260705
71,0.050520510004599485,-0.003983951926307701
72,0.05124446509785756,-0.00894467837832444
73,0.050643047066316074,-0.008284322732856897
74,0.05128329007044819,-0.0008757446010213758
75,0.05102304952251411,0.0025738136201199327
