compact_origin_class,n,fraction,median_expansion_factor,fraction_expanding,median_age_myr,median_vrel_over_vesc
A_compact_origin,7,0.08433734939759036,2.2246779868958244,1.0,50.118723362727245,20.863539485492076
B_loose_complex,24,0.2891566265060241,1.4560939070562346,0.8333333333333334,89.27280089655588,64.47901999777123
C_wide_or_chance,52,0.6265060240963856,1.0,0.46153846153846156,112.20184543019651,97.12437180110491
