idx1,idx2,name1,name2,separation_pc,vrel_kms,vesc_kms,dsi,energy_ratio,bound_energy_flag,mass1_msun,mass2_msun
45,2145,Alessi_8,Theia_2505,1055.9305665884992,26.976677529757776,0.0608754079603245,0.0022565939743014,196378.1442795692,False,154.67044485,300.24223979
95,2024,BH_92,Theia_280,3438.549531288115,101.07960900239102,0.046251035639105,0.0004575703853188,4776218.462705846,False,675.1754542,179.94466322
1675,1759,NGC_7790,OC_0602,5107.148198782207,123.00891980998108,0.0455028937909378,0.0003699154001289,7307943.414815839,False,1079.31314681,150.00816167
159,1135,Berkeley_79,HSC_2581,5369.411692520489,212.02767597075356,0.0743720517699073,0.0003507657735217,8127660.984185652,False,2481.6224998,971.04809133
1679,2697,OC_0025,UBC_1315,4523.557161035719,75.31145716394198,0.0383212256695976,0.0005088365982107,3862276.1204260215,False,445.74239462,326.52514443
653,2822,ESO_559-13,UFMG_41,3084.25038735989,32.17332624906689,0.0404174302066121,0.001256240336909,633657.4301525888,False,164.39944271,421.32849275
612,756,Czernik_27,FSR_1360,3415.3436285378534,36.70323545417629,0.0535122275888846,0.0014579703104292,470438.26486781344,False,571.28990063,565.6810836
547,2271,CWNU_2716,Trumpler_21,2614.817236387255,33.10632963292824,0.0585988409129496,0.0017700192550087,319186.1353005181,False,516.3199812,527.50648965
989,1496,HSC_1362,NGC_2477,3284.790053304381,48.46017664623656,0.1805603679235954,0.0037259535647527,72031.94201710253,False,369.35740439,12080.41449562
521,2556,CWNU_2574,UBC_575,880.5537118124329,8.49735938917564,0.0775475524532911,0.0091260765729262,12006.92459298022,False,312.99494124,302.60838546
1031,1915,HSC_1678,SAI_17,7066.22540373345,76.23870272056745,0.0446157422805825,0.0005852111944258,2919945.52877364,False,445.93310787,1189.27355465
2409,2578,UBC_269,UBC_637,4942.369804834996,71.92430373412233,0.044733936195766,0.0006219585574457,2585098.554399773,False,425.86694822,723.92266524
430,1339,CWNU_1726,LP_2210,1078.912423705525,56.74905922829546,0.0829488895322128,0.0014616786720378,468054.23585203016,False,304.98521514,558.02564766
739,2739,FSR_1144,UBC_1428,1253.9288165102173,21.320189112309603,0.0620487235611328,0.0029103270723479,118063.70329839952,False,426.1817203,135.05684036
1333,1423,LP_2094,NGC_1896,2285.512347185274,30.603544779438757,0.0600758856062748,0.0019630368324729,259503.430462772,False,801.42218966,157.52093715
820,884,HSC_20,HSC_595,3586.313027915074,49.299920629807296,0.0632069088219802,0.0012820894641311,608363.7628540548,False,385.84910543,1279.81034094
1383,2340,NGC_433,UBC_139,1924.6625177982976,45.223118362428366,0.079214236567872,0.0017516314539176,325922.64010528364,False,1023.38791518,380.62139037
