idx1,idx2,name1,name2,separation_pc,vrel_kms,vesc_kms,dsi,energy_ratio,bound_energy_flag,mass1_msun,mass2_msun,d_now_pc,d_min_pc,t_d_min_myr,expansion_factor,is_expanding
418,1135,CWNU_1643,HSC_2581,100.10902213466797,41.44333394511036,0.35607737943957896,0.00859190961593934,13546.297228066696,False,504.55958192,971.04809133,100.10902213466507,31.629411470633958,-2.5,3.1650611718656347,True
2767,2801,UBC_1511,UBC_1590,202.09046109756213,28.641972028307663,0.3412920484307289,0.011915801331466297,7042.931955306141,False,1183.842709,1552.73049663,202.09046109756378,200.6015030332017,-1.0,1.0074224671393197,True
2585,2767,UBC_662,UBC_1511,210.92721509032975,32.03996012922731,0.28067999742166655,0.008760310446379933,13030.497769003377,False,747.9675225,1183.842709,210.92721509033348,179.10027379079762,-3.5,1.1777045932197294,True
1927,2219,SAI_116,Theia_4367,119.40549699956875,18.487885990196503,0.45548387099178206,0.02463688229326542,1647.511682265915,False,2274.43306133,605.47910123,119.40549699957431,119.40549699957431,0.0,1.0,False
1880,2800,Ruprecht_97,UBC_1588,212.77607538893415,34.47256302915622,0.2213200277652288,0.006420179073370339,24260.8334604017,False,687.65573017,523.98298492,212.77607538893525,204.99211764420187,-2.0,1.0379719856265095,True
531,2800,CWNU_2634,UBC_1588,249.62745201127294,15.422933717156251,0.29163013166201657,0.018908862412966954,2796.8501378508136,False,1944.13574178,523.98298492,249.62745201127268,241.15813196667463,-4.5,1.0351193632805566,True
2270,2769,Trumpler_20,UBC_1516,86.45220777753748,40.21596643665255,1.2858046694131042,0.03197249210555415,978.2436160106207,False,15334.57927026,1281.74661924,86.45220777753663,57.136516669269454,-1.5,1.513081525042188,True
375,457,CWNU_1342,CWNU_1988,61.43155633462492,38.859566941887856,0.39624308510200384,0.010196796214805006,9617.7286550316,False,628.25415008,493.05102447,61.431556334622854,61.431556334622854,0.0,1.0,False
375,1551,CWNU_1342,NGC_4815,208.97225595425337,19.235754937661437,0.6442919722718575,0.03349449888293215,891.3597735036536,False,628.25415008,9456.44593603,208.97225595425317,208.97225595425317,0.0,1.0,False
478,1882,CWNU_2269,Ruprecht_100,168.55180795849714,48.44406917789762,0.32471217188222984,0.006702826112517779,22257.895250358026,False,494.78439935,1571.25913234,168.55180795849446,119.71991695190613,-2.5,1.4078844376930622,True
1882,2526,Ruprecht_100,UBC_518,209.28093248925003,63.95085958519997,0.3071542429849744,0.004802972860368847,43349.06501728098,False,1571.25913234,724.10512797,209.28093248925464,209.28093248925464,0.0,1.0,False
1882,2524,Ruprecht_100,UBC_516,234.2008296039247,64.52660689727281,0.27419470813084107,0.004249327855831046,55380.83754684644,False,1571.25913234,475.72974217,234.20082960392247,231.00239924915778,-0.5,1.0138458750435526,True
1882,1883,Ruprecht_100,Ruprecht_101,187.62006066249882,18.09711828823869,0.5132351032206929,0.0283600457844299,1243.3292326602036,False,1571.25913234,4174.14910909,187.6200606624956,187.6200606624956,0.0,1.0,False
1879,1882,Ruprecht_96,Ruprecht_100,149.00873348187037,50.84009836550525,0.40976007260653097,0.008059781270693825,15394.071102456008,False,1337.31351138,1571.25913234,149.00873348186457,149.00873348186457,0.0,1.0,False
1555,2531,NGC_5168,UBC_528,78.52649259173248,13.794469562101751,0.5732061145283888,0.04155332772658306,579.1464272455435,False,2397.58494006,601.90040566,78.52649259173258,78.52649259173258,0.0,1.0,False
457,2531,CWNU_1988,UBC_528,225.3218361407961,68.55709293191087,0.2044519838562224,0.0029822148972868325,112440.33460125996,False,493.05102447,601.90040566,225.32183614079673,225.32183614079673,0.0,1.0,False
2425,2531,UBC_293,UBC_528,81.65295541108443,17.046845225685367,0.4096741328199982,0.024032255082759885,1731.4539677825348,False,991.25415184,601.90040566,81.652955411086,77.35814323584508,-1.5,1.0555185530002593,True
390,2170,CWNU_1437,Theia_3114,240.46847715816784,116.6651656318018,0.19294979863798029,0.0016538766956962518,365589.52573514706,False,622.58484683,418.18746027,240.46847715816654,240.46847715816654,0.0,1.0,False
390,2431,CWNU_1437,UBC_299,143.85441123279216,124.45016251498261,0.3415752054868462,0.0027446746439220107,132745.02682621588,False,622.58484683,1328.6285807,143.85441123279293,106.33704259903266,-1.0,1.3528156107860532,True
1555,2425,NGC_5168,UBC_293,52.316270446211,13.27847324936519,0.7464532757910821,0.05621529386496058,316.43974760681976,False,2397.58494006,991.25415184,52.31627044621127,43.00936011348198,-2.5,1.2163926714597153,True
1555,2771,NGC_5168,UBC_1521,218.66246997165774,36.7344142724403,0.3338359494971539,0.009087825574712148,12108.212498236282,False,2397.58494006,435.43329389,218.66246997165854,180.78734601723744,-3.0,1.2095009677879216,True
457,1551,CWNU_1988,NGC_4815,238.93691800559168,54.48795577734387,0.5984866609447281,0.010983833994256384,8288.807983382965,False,493.05102447,9456.44593603,238.93691800559228,224.46888804932573,-127.0,1.0644545000511931,True
2425,2771,UBC_293,UBC_1521,209.82077341130795,26.974872928483528,0.2418442244198197,0.008965537115262908,12440.773247321871,False,991.25415184,435.43329389,209.82077341130778,191.76048311688805,-3.0,1.0941815018447312,True
1551,2529,NGC_4815,UBC_523,143.9288756127676,22.634903429571978,0.7755851520792211,0.03426500822026645,851.7228905425452,False,9456.44593603,608.60137792,143.92887561277058,143.92887561277058,0.0,1.0,False
2528,2529,UBC_521,UBC_523,235.45896209105373,63.41235455150823,0.25637091909641374,0.004042917518354727,61180.107772171745,False,1190.52496074,608.60137792,235.45896209105163,235.45896209105163,0.0,1.0,False
541,2529,CWNU_2690,UBC_523,246.6906349406987,21.619900287147402,0.24431130216181168,0.011300297361086807,7831.0546777080135,False,1103.18156791,608.60137792,246.690634940698,246.690634940698,0.0,1.0,False
541,2528,CWNU_2690,UBC_521,155.18203893113684,52.41137645444454,0.35656912945076785,0.0068032773335135405,21605.466582817862,False,1103.18156791,1190.52496074,155.1820389311355,155.1820389311355,0.0,1.0,False
2526,2528,UBC_518,UBC_521,203.60646267470747,41.348530733225324,0.28440825822002014,0.006878315944403942,21136.63067133451,False,724.10512797,1190.52496074,203.60646267470082,203.60646267470082,0.0,1.0,False
1884,2528,Ruprecht_102,UBC_521,143.75891024858745,78.32924557847919,0.3262930484698061,0.00416566055322068,57627.82710314912,False,588.81663091,1190.52496074,143.758910248588,143.758910248588,0.0,1.0,False
2524,2528,UBC_516,UBC_521,213.89203495635334,65.19705063454609,0.25886237425470754,0.003970461420191048,63433.40716729006,False,475.72974217,1190.52496074,213.8920349563532,213.8920349563532,0.0,1.0,False
1883,2528,Ruprecht_101,UBC_521,233.9833253457107,33.994369209785575,0.4440938496820156,0.013063747320664485,5859.552592801974,False,4174.14910909,1190.52496074,233.9833253457117,233.9833253457117,0.0,1.0,False
2528,2768,UBC_521,UBC_1513,214.95214137267175,50.479108599692196,0.2482861495378108,0.004918592194382069,41335.040502817836,False,1190.52496074,349.95367043,214.95214137267078,214.95214137267078,0.0,1.0,False
478,541,CWNU_2269,CWNU_2690,139.42969433922565,20.308135344746365,0.31397977030809043,0.015460787757124918,4183.471006079944,False,494.78439935,1103.18156791,139.42969433922806,139.42969433922806,0.0,1.0,False
541,2526,CWNU_2690,UBC_518,79.6677306500783,36.89634971454245,0.44417863500307464,0.012038552280634,6900.037860552242,False,1103.18156791,724.10512797,79.66773065007409,65.53019860917321,-1.0,1.2157407171191121,True
541,1884,CWNU_2690,Ruprecht_102,118.57187402771592,27.82090562861113,0.3503520382570718,0.012593121264060087,6305.698901626657,False,1103.18156791,588.81663091,118.5718740277143,118.5718740277143,0.0,1.0,False
541,2524,CWNU_2690,UBC_516,118.03566546818605,17.748185882506384,0.3392093257540537,0.0191123379031317,2737.6149878013152,False,1103.18156791,475.72974217,118.03566546818638,118.03566546818638,0.0,1.0,False
541,1883,CWNU_2690,Ruprecht_101,131.8085222773123,68.30976780357531,0.5868551911852941,0.008591087483605504,13548.890003859497,False,1103.18156791,4174.14910909,131.80852227731415,56.88225552377644,-1.5,2.3172168730584,True
541,2768,CWNU_2690,UBC_1513,142.47853317147542,9.811074491730896,0.2961923529507613,0.030189593729045904,1097.1991506771594,False,1103.18156791,349.95367043,142.47853317147457,142.47853317147457,0.0,1.0,False
541,2417,CWNU_2690,UBC_282,245.96696052338922,25.557619134215052,0.2619049406030511,0.010247626714666391,9522.553155951182,False,1103.18156791,858.24960024,245.96696052339067,238.34147922976544,-2.5,1.0319939328994183,True
478,2526,CWNU_2269,UBC_518,105.01796167773085,52.72906576953211,0.31597005275805373,0.005992331708266818,27848.916828691603,False,494.78439935,724.10512797,105.01796167773654,105.01796167773654,0.0,1.0,False
478,1884,CWNU_2269,Ruprecht_102,207.93210710061607,32.09846308895195,0.21172369738912503,0.006596069624965898,22984.20770166118,False,494.78439935,588.81663091,207.93210710061643,207.93210710061643,0.0,1.0,False
478,2524,CWNU_2269,UBC_516,138.8731765544115,23.497661363144573,0.24518127063509815,0.010434283941961055,9184.90562979027,False,494.78439935,475.72974217,138.8731765544133,138.8731765544133,0.0,1.0,False
478,1883,CWNU_2269,Ruprecht_101,126.83664291534825,63.165063049922665,0.5627066108576408,0.008908510237896926,12600.559607235398,False,494.78439935,4174.14910909,126.83664291534951,120.86563754756612,-0.5,1.0494020094456833,True
478,2768,CWNU_2269,UBC_1513,175.93728205974583,27.137059878256775,0.20322523593909156,0.007488845027825701,17830.778824533292,False,494.78439935,349.95367043,175.93728205974773,175.93728205974773,0.0,1.0,False
478,1879,CWNU_2269,Ruprecht_96,215.5649404973464,29.85243982794836,0.2703838935796597,0.009057346573278132,12189.840636095438,False,494.78439935,1337.31351138,215.5649404973463,215.5649404973463,0.0,1.0,False
1884,2526,Ruprecht_102,UBC_518,125.68910669865905,53.74500851689521,0.2997547994099485,0.0055773514170291355,32147.261379511478,False,588.81663091,724.10512797,125.68910669865136,85.15591007524421,-1.5,1.4759880622213044,True
2524,2526,UBC_516,UBC_518,75.79096995004919,43.07048226081013,0.369017998875455,0.008567770303589677,13622.736941075069,False,475.72974217,724.10512797,75.79096995004666,71.92800572570044,-0.5,1.053705982605409,True
1883,2526,Ruprecht_101,UBC_518,56.897655506481655,69.6082036460176,0.8605359493123796,0.012362565103511507,6543.088833645762,False,4174.14910909,724.10512797,56.89765550648484,31.721903251697903,-0.5,1.7936393997242084,True
2526,2768,UBC_518,UBC_1513,121.82913158141432,28.408498686667055,0.27538101512487895,0.00969361380769211,10642.130323934356,False,724.10512797,349.95367043,121.8291315814105,108.04524411266429,-2.0,1.1275751430055823,True
2417,2526,UBC_282,UBC_518,240.33190409042257,18.48860409279058,0.23798070849704875,0.012871751014985852,6035.659611602798,False,858.24960024,724.10512797,240.33190409042217,84.15871417439676,-12.0,2.855698384274237,True
1879,2526,Ruprecht_96,UBC_518,216.27254961742534,23.25643128145705,0.2863373105376081,0.01231217752510086,6596.75359438454,False,1337.31351138,724.10512797,216.2725496174309,216.2725496174309,0.0,1.0,False
1884,2524,Ruprecht_102,UBC_516,87.1672954608201,13.771050326781767,0.32411643162642667,0.023536071972381736,1805.227883989175,False,588.81663091,475.72974217,87.16729546081864,60.22496522152254,-4.5,1.4473614910393962,True
1883,1884,Ruprecht_101,Ruprecht_102,131.80877649611395,91.49397937637755,0.5575221248004064,0.006093538925735596,26931.517211246435,False,4174.14910909,588.81663091,131.80877649611344,120.56194110862316,-0.5,1.0932867809200018,True
1884,2768,Ruprecht_102,UBC_1513,72.91760505213085,28.890567425627818,0.33278137756592446,0.011518686104819308,7536.92360080803,False,588.81663091,349.95367043,72.91760505212913,56.86779101635604,-1.5,1.282230305572392,True
542,1884,CWNU_2695,Ruprecht_102,194.05620489575597,47.88394918532266,0.1967410935521065,0.004108706506029193,59236.55050134389,False,284.40927483,588.81663091,194.05620489575693,24.462120732435228,-4.0,7.932926462849587,True
1884,2417,Ruprecht_102,UBC_282,156.6192017203345,46.427204522807706,0.28191438944616737,0.006072181005592849,27121.30496040516,False,588.81663091,858.24960024,156.61920172033558,149.73010226652897,-1.0,1.046010116533171,True
1883,2524,Ruprecht_101,UBC_516,61.31235690691244,78.52243387935708,0.8076856289073024,0.010286049336527717,9451.544727291455,False,4174.14910909,475.72974217,61.31235690691304,61.31235690691304,0.0,1.0,False
2524,2768,UBC_516,UBC_1513,49.85517557145593,17.420341098882265,0.37743936876784,0.02166658888166418,2130.1928098780304,False,475.72974217,349.95367043,49.85517557145609,49.85517557145609,0.0,1.0,False
542,2524,CWNU_2695,UBC_516,202.63462559939896,38.42603348883507,0.17963262879345052,0.0046747637599817305,45759.435976304136,False,284.40927483,475.72974217,202.63462559939887,69.88815821074238,-5.0,2.8994128731847493,True
2417,2524,UBC_282,UBC_516,168.04523860333356,33.35846282718193,0.2613105767750372,0.007833411813032043,16296.64040992506,False,858.24960024,475.72974217,168.04523860333717,168.04523860333717,0.0,1.0,False
1879,2524,Ruprecht_96,UBC_516,191.32670054029018,24.009086498227724,0.2855037610499712,0.011891487877768536,7071.761494419791,False,1337.31351138,475.72974217,191.32670054029325,25.293757208703212,-7.5,7.564186647385882,True
1883,2768,Ruprecht_101,UBC_1513,109.27160808724489,69.3129158608835,0.5967715440334949,0.008609817328003665,13490.005461465425,False,4174.14910909,349.95367043,109.27160808724572,109.27160808724572,0.0,1.0,False
542,1883,CWNU_2695,Ruprecht_101,214.81102517858642,51.83458445253222,0.42253674980243466,0.008151637642419508,15049.090980542554,False,284.40927483,4174.14910909,214.811025178586,214.811025178586,0.0,1.0,False
1883,2417,Ruprecht_101,UBC_282,224.56102365976807,56.17053679035589,0.4390519129303777,0.00781640942063705,16367.615001133532,False,4174.14910909,858.24960024,224.56102365977233,224.56102365977233,0.0,1.0,False
1879,1883,Ruprecht_96,Ruprecht_101,165.62580108282046,61.437246906057524,0.5350137941183358,0.00870829701950048,13186.621274261322,False,1337.31351138,4174.14910909,165.62580108282125,165.62580108282125,0.0,1.0,False
542,2768,CWNU_2695,UBC_1513,188.34263460491348,32.87285781113803,0.1702119805256833,0.005177888138098288,37298.78391844676,False,284.40927483,349.95367043,188.34263460491422,59.69453892409638,-5.0,3.15510661443249,True
2417,2768,UBC_282,UBC_1513,119.40752344184004,19.216634973475312,0.2950188054930242,0.015352261511978459,4242.8265788039225,False,858.24960024,349.95367043,119.4075234418434,117.85678608615783,-1.0,1.0131578113334256,True
1879,2768,Ruprecht_96,UBC_1513,213.43595598264616,10.957260234897657,0.26076763010414594,0.023798616124278037,1765.6173685141368,False,1337.31351138,349.95367043,213.43595598265108,80.3707114703054,-23.5,2.6556434810398484,True
542,2417,CWNU_2695,UBC_282,205.48995358960624,36.749909027529945,0.21870491532406272,0.00595116889024752,28235.49781696582,False,284.40927483,858.24960024,205.4899535896076,177.1058719024344,-3.0,1.1602661808006551,True
542,1879,CWNU_2695,Ruprecht_96,240.82957085976884,33.81379617398358,0.24067387240944008,0.007117623563207468,19739.219179619886,False,284.40927483,1337.31351138,240.82957085977264,117.38465121857587,-6.0,2.0516274347600727,True
1144,2170,HSC_2683,Theia_3114,208.6166790797836,105.69282589518217,0.22805408905399027,0.0021577064206813466,214790.6103988093,False,843.15690225,418.18746027,208.61667907978702,208.61667907978702,0.0,1.0,False
559,2170,CWWL_1746,Theia_3114,177.20297831493036,12.688598605500701,0.22167120392278453,0.017470109254357425,3276.489330350468,False,594.08749592,418.18746027,177.20297831493056,156.41000688366688,-102.5,1.1329388818883492,True
378,2170,CWNU_1362,Theia_3114,130.0092984055908,66.17139084688857,0.30300137903315655,0.004579038994877102,47692.63481867572,False,969.43889665,418.18746027,130.00929840559417,78.72293798156873,-1.5,1.6514792478404836,True
390,559,CWNU_1437,CWWL_1746,181.47554715016346,106.2260816225584,0.2401448640705934,0.0022606958705666475,195666.15820410766,False,622.58484683,594.08749592,181.4755471501605,104.30464685601636,-1.5,1.7398606161878096,True
559,2431,CWWL_1746,UBC_299,194.302981893565,22.37343524718291,0.2917516952576213,0.013040093844969847,5880.829201531229,False,594.08749592,1328.6285807,194.30298189356316,194.30298189356316,0.0,1.0,False
1351,2431,Loden_1339,UBC_299,154.002759723047,38.941818197357044,0.3151232367408015,0.008092155203019995,15271.144710950603,False,449.23435588,1328.6285807,154.00275972304627,154.00275972304627,0.0,1.0,False
2527,2528,UBC_519,UBC_521,224.75828670137642,69.10938914882013,0.24078966533440646,0.003484181647386437,82375.56803558003,False,324.43206889,1190.52496074,224.75828670137625,212.86171160734395,-1.0,1.0558887505141241,True
541,2527,CWNU_2690,UBC_519,228.36225578928088,28.787714034836423,0.2318935792576082,0.00805529674836253,15411.21616223157,False,1103.18156791,324.43206889,228.3622557892788,78.71060113318875,-7.0,2.9012896928948577,True
1884,2527,Ruprecht_102,UBC_519,178.65267266053993,24.30937413000296,0.20969366711108334,0.00862604137768716,13439.308580120412,False,588.81663091,324.43206889,178.65267266054002,173.30525522343802,-2.0,1.0308554834659094,True
2524,2527,UBC_516,UBC_519,233.4359963084568,18.195203670635454,0.17171195756493657,0.009437209974299763,11228.267843504535,False,475.72974217,324.43206889,233.43599630845566,170.72452404632813,-8.0,1.3673255064697678,True
2527,2768,UBC_519,UBC_1513,195.7126856874007,31.17488168515971,0.17216316695288736,0.005522496242057682,32789.073251577465,False,324.43206889,349.95367043,195.7126856873987,97.65311627222223,-5.0,2.0041622137466786,True
2417,2527,UBC_282,UBC_519,164.54325152376646,41.61829941689875,0.2486505575856771,0.0059745487218229466,28014.945748759048,False,858.24960024,324.43206889,164.54325152376225,115.74637323538475,-2.5,1.421584512105126,True
2006,2417,Teutsch_J1209.3-6120,UBC_282,249.92522581639747,39.035796318588375,0.2445049915539652,0.006263609676576135,25488.87263886515,False,878.72900035,858.24960024,249.92522581638892,79.69528698934488,-6.0,3.1360101112353544,True
2437,2779,UBC_310,UBC_1541,222.73093036512833,41.75724767968312,0.29975130119012683,0.00717842573077368,19406.247999484436,False,2077.83073199,248.71503747,222.73093036512842,195.12696600294692,-2.5,1.1414666815542276,True
624,2437,DBSB_157,UBC_310,115.76681938039876,18.43341378183668,0.509815884273819,0.02765716054050524,1307.3287701552579,False,1420.16876142,2077.83073199,115.7668193803992,107.03793761592203,-2.5,1.081549420316734,True
1763,2437,OC_0653,UBC_310,155.5544359867983,11.170680802316678,0.42635461238659883,0.03816728988426359,686.4633464642451,False,1209.42315298,2077.83073199,155.55443598679722,33.1013567521869,-200.0,4.699337164677403,True
624,2196,DBSB_157,Theia_3669,210.94815717755253,9.06692543018978,0.3587758721650145,0.039569738929407405,638.6657551178033,False,1420.16876142,1736.5152389,210.94815717754904,97.25593758613309,-49.5,2.1690002935885158,True
2196,2538,Theia_3669,UBC_537,38.078279902727914,39.31903864293779,0.8682774137879082,0.02208287495716435,2050.6369256427147,False,1736.5152389,1600.84621417,38.078279902727424,38.078279902727424,0.0,1.0,False
1763,2196,OC_0653,Theia_3669,163.57117243607576,28.1235401697053,0.3935990024302529,0.013995357627637437,5105.426153415582,False,1209.42315298,1736.5152389,163.5711724360722,94.2260262050883,-5.0,1.735944717439853,True
505,2196,CWNU_2468,Theia_3669,131.05355409962633,40.02748392683742,0.4203135923485347,0.010500624848586224,9069.215345532253,False,955.0480006,1736.5152389,131.05355409962692,105.21546202728652,-2.0,1.2455731465175677,True
2436,2536,UBC_307,UBC_535,149.69922251448492,50.45658490408228,0.3740310097558647,0.0074129275785687005,18197.866951785527,False,1717.18410423,717.50593927,149.6992225144854,149.6992225144854,0.0,1.0,False
624,2538,DBSB_157,UBC_537,242.04741710708342,43.75716121726682,0.32765873858156985,0.007488116903988595,17834.24662464353,False,1420.16876142,1600.84621417,242.04741710707924,242.04741710707924,0.0,1.0,False
624,1763,DBSB_157,OC_0653,115.80886274302459,26.174515895595036,0.4419456073623496,0.016884576170393493,3507.6776272805255,False,1420.16876142,1209.42315298,115.80886274302283,115.77394265861754,-0.5,1.000301623004308,True
1763,2538,OC_0653,UBC_537,200.691539506273,35.974905907533476,0.34706033746642384,0.009647289651249545,10744.578024165343,False,1209.42315298,1600.84621417,200.69153950626898,200.69153950626898,0.0,1.0,False
505,2538,CWNU_2468,UBC_537,93.8079625211197,65.52416145921322,0.4841134269731723,0.0073883193037810645,18319.292100303275,False,955.0480006,1600.84621417,93.80796252112073,47.526551866014564,-1.0,1.9738011456328945,True
1572,2779,NGC_5999,UBC_1541,197.2286585843816,8.956589266520899,0.4525818556544669,0.05053060290999232,391.6436052844552,False,4447.77293055,248.71503747,197.22865858438053,197.22865858438053,0.0,1.0,False
498,2779,CWNU_2417,UBC_1541,246.71765318557246,29.69999566886167,0.1254880961552361,0.004225189038892737,56015.43476147461,False,202.94763692,248.71503747,246.71765318557286,246.71765318557286,0.0,1.0,False
1572,2436,NGC_5999,UBC_307,227.01545916447864,27.334736051505516,0.48331787023765166,0.017681453712483607,3198.6304192634857,False,4447.77293055,1717.18410423,227.01545916447986,114.60941345741479,-106.0,1.9807749844983857,True
1145,1572,HSC_2698,NGC_5999,227.60195441131134,25.392835407953598,0.4523075557134108,0.01781240843910397,3151.7713983851922,False,965.40855544,4447.77293055,227.60195441131094,227.60195441131094,0.0,1.0,False
498,1572,CWNU_2417,NGC_5999,174.40756963335855,21.45331229359195,0.4789310567928238,0.022324340886786014,2006.5163785249424,False,202.94763692,4447.77293055,174.40756963335767,118.66800615005175,-6.0,1.469710120626996,True
1144,1145,HSC_2683,HSC_2698,183.25886401480125,103.73176237059205,0.291360157419695,0.00280878441435114,126754.44171789558,False,843.15690225,965.40855544,183.25886401480096,30.561050641829354,-1.5,5.996484419418876,True
1144,1979,HSC_2683,Teutsch_80,240.66373264454262,78.09780869770118,0.33295243278825154,0.004263274966869231,55019.07845017548,False,843.15690225,2258.4299627,240.663732644539,178.44951233927222,-2.0,1.348637659412505,True
559,1144,CWWL_1746,HSC_2683,138.04684505291945,95.11377655233836,0.2992592696597506,0.0031463293805296107,101016.33983247302,False,594.08749592,843.15690225,138.04684505292158,138.04684505292158,0.0,1.0,False
